Genus,Species,Latitude,Longitude
Ophrys,apifera,46.23929,1.49385
Ophrys,apifera,48.19149,1.97211
Ophrys,apifera,47.07513,-0.13865
Ophrys,apifera,42.30881,11.59533
Ophrys,apifera,43.82023,8.96835
Ophrys,apifera,43.44135,10.52006
Ophrys,apifera,40.64991,-6.34796
Ophrys,apifera,43.32844,-3.21346
Ophrys,apifera,42.35119,-2.7957
Ophrys,insectifera,47.8569,8.92965
Ophrys,insectifera,47.38012,7.73768
Ophrys,insectifera,46.55012,8.26568
Ophrys,insectifera,45.3453,16.52634
Ophrys,insectifera,44.87696,14.87914
Ophrys,insectifera,45.10416,13.84219
Orchis,mascula,47.48244,4.75751
Orchis,mascula,50.9006,11.263
Orchis,mascula,51.9664,7.53466
Orchis,mascula,43.79972,19.21108
Orchis,mascula,48.10887,19.07597
Orchis,mascula,44.5005,20.10319
Orchis,militaris,47.71352,3.86293
Orchis,militaris,50.32171,1.38826
Orchis,militaris,49.90473,6.54331
Orchis,militaris,53.83659,13.07135
Orchis,militaris,53.81584,13.46951
Orchis,militaris,53.8717,15.83685
Dactylorhiza,majalis,51.92212,-4.11311
Dactylorhiza,majalis,51.9087,0.43934
Dactylorhiza,majalis,50.99064,-2.28438
Dactylorhiza,majalis,60.7329,12.43771
Dactylorhiza,majalis,60.25367,16.79548
Dactylorhiza,majalis,61.13665,12.66099
Dactylorhiza,fuchsii,55.40039,7.46649
Dactylorhiza,fuchsii,53.67038,10.94518
Dactylorhiza,fuchsii,57.88405,7.64665
Dactylorhiza,fuchsii,49.7901,21.00797
Dactylorhiza,fuchsii,50.3224,17.4994
Dactylorhiza,fuchsii,53.95968,23.07087
Anacamptis,pyramidalis,42.16987,14.00854
Anacamptis,pyramidalis,43.18791,17.8886
Anacamptis,pyramidalis,38.73166,13.27094
Anacamptis,pyramidalis,35.0,23.48389
Anacamptis,pyramidalis,36.37514,19.38913
Anacamptis,pyramidalis,37.16888,23.25046
Anacamptis,pyramidalis,38.24871,-4.98285
Anacamptis,pyramidalis,36.669,-6.51944
Anacamptis,pyramidalis,39.29516,-5.74221
